ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,MATAVE,GENENGAVE,ELECENGAVE,ELECSYSAVE,NATSCIAVE,BASENSCIAVE,ALCOUAVE,PROAVE,PERFORMANCE
2.25,2.95,2.0,2.0,2.5,2.15,2.5,2.5,2.0,3.0,2.75,2.25,2.5,2.5,3.0,2.5,2.35,2.5,2.25,3.0,2.5,2.25,2.5,2.25,2.25,2.5,3.0,2.44,2.465,2.516666667,2.583333333,2.25,2.383333333,2.5,2.489285714,0
2.8,2.75,2.6,2.05,2.6,2.3,3.0,2.0,2.6,2.85,2.0,1.75,2.7,2.5,2.25,2.9,2.45,2.8,2.75,2.75,3.0,2.0,1.25,1.75,1.75,1.75,2.75,2.42,2.34,2.6,2.766666667,2.325,2.433333333,2.3,2.328571429,0
2.75,3.0,2.5,2.0,2.2,2.05,2.25,2.25,1.75,2.75,3.0,1.75,2.5,3.0,2.5,2.5,2.2,2.75,2.75,3.0,2.5,2.5,2.5,2.0,1.95,1.45,2.75,2.65,2.25,2.575,2.833333333,2.1,2.183333333,2.3125,2.435714286,0
2.7,3.15,2.75,1.75,1.8,1.9,2.25,2.0,2.05,2.7,2.35,2.25,2.5,2.0,1.75,1.75,1.85,2.75,1.75,2.75,1.5,2.0,2.5,2.0,2.25,1.25,2.5,2.72,2.08,1.933333333,2.416666667,1.775,2.05,2.3375,2.042857143,1
2.75,2.85,2.0,1.85,2.25,2.25,2.5,2.25,1.75,2.75,2.25,1.75,2.5,2.75,2.25,2.25,2.6,2.5,2.0,3.0,2.25,2.5,2.5,2.25,2.25,2.15,3.0,2.52,2.185,2.558333333,2.5,2.05,2.333333333,2.125,2.410714286,0
2.5,2.75,2.25,2.15,2.15,2.1,2.0,2.25,1.75,2.75,2.5,1.75,2.25,2.75,2.5,2.5,2.25,2.75,2.5,2.75,2.5,2.5,2.5,2.0,2.0,1.5,2.5,2.45,2.19,2.5,2.666666667,2.15,2.116666667,2.1875,2.375,0
2.7,2.85,2.5,2.05,2.5,2.15,2.75,1.75,1.75,2.75,2.6,1.75,2.75,2.75,2.5,2.25,2.15,3.0,2.25,2.75,2.5,2.5,2.5,2.0,2.5,1.0,2.75,2.66,2.255,2.483333333,2.666666667,2.275,2.216666667,2.2125,2.385714286,0
2.75,2.75,1.75,1.95,1.5,1.75,2.25,2.0,2.5,2.25,2.45,2.0,2.0,2.0,1.75,2.25,1.25,2.0,2.25,2.25,2.0,2.5,2.25,1.75,2.25,1.5,1.75,2.3,2.04,1.958333333,2.166666667,1.725,2.0,2.3,2.0,0
3.0,3.0,3.0,2.0,1.9,2.25,2.5,2.5,1.5,3.0,2.25,2.75,3.0,2.5,2.25,3.0,2.4,2.75,2.75,2.75,2.5,2.0,3.0,2.0,2.0,1.5,2.0,3.0,2.29,2.4,2.75,1.95,2.416666667,2.375,2.457142857,1
3.0,2.75,2.25,2.05,2.5,1.75,2.5,2.0,1.75,2.25,2.8,1.75,2.0,3.0,2.0,2.75,2.25,2.75,2.75,2.5,2.5,2.5,2.5,2.0,2.25,1.5,2.0,2.5,2.135,2.5,2.666666667,2.275,2.083333333,2.1375,2.375,1
2.0,2.5,1.5,1.75,1.75,2.0,2.5,2.25,2.25,2.5,2.5,2.0,2.0,2.25,2.0,2.25,2.25,2.25,2.5,2.5,2.5,2.25,3.0,1.75,2.25,1.5,2.5,2.2,2.15,2.333333333,2.416666667,1.75,2.25,2.3125,2.232142857,1
2.75,3.0,2.25,1.8,1.75,2.25,2.0,2.5,2.0,2.75,2.5,1.75,2.5,2.75,2.25,2.75,2.15,1.5,2.5,2.75,2.5,2.5,3.0,2.0,2.0,1.5,2.25,2.7,2.155,2.483333333,2.25,1.775,2.25,2.25,2.332142857,1
2.75,2.5,2.25,2.25,2.85,2.25,2.75,2.25,2.3,5.0,2.15,2.25,5.0,1.75,2.25,2.5,2.25,2.5,2.75,3.0,2.25,2.25,2.25,2.0,2.0,2.5,2.75,2.95,2.63,2.291666667,2.75,2.55,2.416666667,2.925,2.517857143,0
2.75,2.75,2.0,1.9,1.5,2.25,2.5,2.0,2.25,3.0,2.45,2.0,1.75,3.0,2.0,2.75,1.75,2.0,2.75,2.25,2.25,2.5,3.0,2.0,1.75,1.25,2.0,2.45,2.185,2.375,2.333333333,1.7,2.25,2.425,2.214285714,1
2.75,2.75,2.25,1.95,1.5,2.0,2.75,2.0,2.5,2.25,2.45,2.5,2.25,2.75,2.0,2.75,2.25,2.5,2.75,2.5,2.0,2.5,2.25,1.75,2.25,1.5,2.0,2.45,2.19,2.375,2.583333333,1.725,2.25,2.425,2.285714286,1
2.75,3.0,2.5,2.0,2.2,2.05,2.25,2.25,1.75,2.75,3.0,1.75,2.5,3.0,2.5,2.5,2.2,2.75,2.75,3.0,2.5,2.5,2.5,2.0,1.95,1.45,2.75,2.65,2.25,2.575,2.833333333,2.1,2.183333333,2.3125,2.435714286,0
1.75,2.25,2.0,1.85,1.75,1.75,2.0,2.5,2.0,2.5,2.45,1.75,1.5,2.25,2.0,2.0,1.25,1.75,2.25,2.0,2.0,1.75,2.0,1.75,2.0,1.25,2.0,1.9,2.055,1.875,2.0,1.8,2.083333333,2.175,1.839285714,1
2.5,2.75,2.0,1.75,1.75,2.0,2.0,2.0,2.5,2.75,2.55,1.75,2.25,2.25,2.0,2.25,1.75,2.0,2.5,2.5,2.25,2.5,2.5,2.0,2.0,1.5,2.25,2.4,2.105,2.208333333,2.333333333,1.75,2.0,2.3875,2.160714286,1
2.65,2.75,2.5,2.1,2.75,1.85,2.85,3.0,2.4,2.7,2.35,1.9,2.75,3.45,2.5,2.85,2.35,2.7,2.4,2.5,2.45,2.0,2.25,2.0,2.0,2.0,2.6,2.58,2.44,2.616666667,2.533333333,2.425,2.566666667,2.3375,2.442857143,0
2.75,2.85,2.0,1.85,2.25,2.25,2.5,2.25,1.75,2.75,2.25,1.75,2.5,2.75,2.25,2.25,2.6,2.5,2.0,3.0,2.25,2.5,2.5,2.25,2.25,2.15,3.0,2.52,2.185,2.558333333,2.5,2.05,2.333333333,2.125,2.410714286,0
2.5,2.25,1.75,1.9,1.5,2.5,2.5,2.0,2.25,2.5,2.55,2.0,2.25,3.0,2.0,2.5,2.5,2.25,2.5,2.25,2.25,2.5,3.0,1.5,1.75,1.25,2.25,2.35,2.17,2.5,2.333333333,1.7,2.333333333,2.325,2.25,1
2.8,2.7,2.45,1.95,2.6,2.35,2.75,2.25,2.4,2.8,2.05,1.7,2.65,2.75,2.0,2.7,2.2,2.65,2.25,2.75,2.4,2.25,2.25,2.5,2.5,2.0,3.0,2.57,2.285,2.55,2.55,2.275,2.45,2.2375,2.417857143,0
2.5,2.75,2.25,2.15,2.15,2.1,2.0,2.25,1.75,2.75,2.5,1.75,2.25,2.75,2.5,2.5,2.25,2.75,2.5,2.75,2.5,2.5,2.5,2.0,2.0,1.5,2.5,2.45,2.19,2.5,2.666666667,2.15,2.116666667,2.1875,2.375,0
2.0,2.5,2.0,1.9,1.5,1.5,2.5,2.25,2.25,2.75,2.6,2.0,1.5,2.0,2.0,2.25,2.25,2.75,2.75,2.25,2.75,2.5,2.75,2.0,2.25,1.5,2.0,2.15,2.125,2.291666667,2.583333333,1.7,2.083333333,2.4,2.25,1
1.75,2.25,1.25,1.95,1.25,2.0,2.0,2.0,1.5,1.75,2.15,2.25,1.5,1.5,1.75,2.0,1.25,1.25,2.25,2.0,1.75,2.0,2.5,1.5,1.5,1.25,2.0,1.85,1.86,1.75,1.833333333,1.6,2.0,1.9125,1.714285714,1
2.75,2.75,2.25,1.8,1.95,1.95,2.5,2.0,2.15,2.55,2.4,1.75,2.5,2.5,2.0,2.0,2.0,2.75,2.5,2.5,1.75,2.25,1.75,1.75,2.0,1.25,3.0,2.4,2.105,2.25,2.583333333,1.875,2.15,2.2125,2.107142857,1
2.75,2.65,2.75,2.0,2.4,2.35,2.95,2.5,2.0,5.0,3.0,2.25,2.75,3.0,3.0,3.0,2.75,2.75,2.5,3.0,2.75,2.25,2.5,2.1,2.2,1.7,3.0,2.68,2.745,2.791666667,2.75,2.2,2.6,3.0625,2.589285714,0
2.4,2.85,2.75,1.8,2.35,2.2,2.5,2.25,1.85,3.75,2.3,2.25,2.75,2.5,2.25,2.25,2.35,3.0,2.25,5.0,2.25,2.5,2.5,2.0,2.0,2.5,3.0,2.65,2.35,2.475,3.416666667,2.075,2.316666667,2.5375,2.578571429,0
2.85,2.8,2.65,2.05,2.6,2.3,3.0,2.25,2.65,3.3,2.2,1.75,2.75,2.6,2.75,3.0,2.4,2.5,3.0,3.0,2.75,2.0,2.25,2.25,2.25,1.75,2.75,2.66,2.485,2.583333333,2.833333333,2.325,2.516666667,2.475,2.517857143,0
2.75,5.0,2.25,1.9,2.0,2.05,2.25,1.5,1.5,2.5,2.0,1.5,2.5,2.25,1.5,2.0,2.75,2.25,1.75,2.5,2.0,2.0,2.0,1.5,1.5,2.25,2.0,2.9,1.87,2.166666667,2.166666667,1.95,1.933333333,1.875,2.053571429,1
2.6,2.7,2.2,1.9,1.85,1.9,3.0,1.75,2.1,2.55,2.5,1.9,1.95,2.75,2.5,2.35,2.1,3.0,2.5,2.25,2.75,2.25,2.0,2.0,2.0,1.5,2.75,2.29,2.195,2.491666667,2.583333333,1.875,2.216666667,2.2625,2.278571429,1
2.0,3.0,2.25,2.05,1.9,2.05,2.5,2.5,2.0,2.75,2.75,2.0,2.5,2.5,3.0,2.25,2.25,2.5,2.25,2.75,2.25,2.5,2.25,2.0,2.0,2.5,3.0,2.4,2.35,2.458333333,2.5,1.975,2.35,2.375,2.392857143,1
2.9,2.65,2.6,2.1,2.65,2.1,3.0,2.2,2.45,3.25,2.3,1.6,3.0,2.9,2.5,2.6,2.35,2.75,2.4,2.5,2.85,2.0,2.25,2.0,2.0,2.0,2.45,2.68,2.415,2.525,2.55,2.375,2.433333333,2.4,2.435714286,0
3.0,3.2,2.25,2.0,2.5,2.15,2.75,2.25,1.75,2.6,2.25,1.75,2.5,2.75,2.0,2.5,3.0,2.25,2.0,2.75,2.25,2.25,2.0,1.75,1.75,2.5,2.5,2.59,2.2,2.541666667,2.333333333,2.25,2.383333333,2.0875,2.303571429,1
2.75,2.75,2.5,2.15,2.05,1.95,2.75,1.75,1.5,2.5,2.25,1.75,2.0,2.25,2.25,2.25,2.5,2.25,1.75,2.5,2.0,2.0,2.0,1.75,2.0,2.5,2.25,2.4,2.09,2.208333333,2.166666667,2.1,2.15,2.0,2.142857143,1
2.8,2.7,2.45,1.95,2.6,2.35,2.75,2.25,2.4,2.8,2.05,1.7,2.65,2.75,2.0,2.7,2.2,2.65,2.25,2.75,2.4,2.25,2.25,2.5,2.5,2.0,3.0,2.57,2.285,2.55,2.55,2.275,2.45,2.2375,2.417857143,0
2.75,2.8,2.75,2.0,2.4,1.85,2.75,2.25,2.65,2.4,2.25,1.25,2.5,5.0,2.5,1.75,2.0,3.0,1.75,2.5,5.0,2.25,2.75,2.0,2.0,1.25,2.5,2.71,2.23,3.083333333,2.416666667,2.2,2.283333333,2.1375,2.589285714,1
2.85,2.9,2.75,1.85,2.6,2.0,2.9,2.25,2.8,2.55,2.1,1.5,2.75,3.2,2.35,3.0,2.0,2.7,2.5,2.85,2.75,2.2,2.2,2.35,2.3,1.9,2.85,2.69,2.29,2.666666667,2.683333333,2.225,2.383333333,2.2375,2.503571429,0
2.75,2.85,3.0,2.0,2.2,2.05,2.25,2.0,1.75,2.75,2.6,1.75,2.5,2.75,2.25,2.0,2.0,3.0,2.0,3.0,2.25,2.0,2.5,2.25,2.25,1.25,2.5,2.72,2.16,2.25,2.666666667,2.1,2.1,2.2125,2.285714286,1
2.25,2.65,1.75,2.25,2.7,1.95,2.5,2.5,2.75,2.75,2.75,2.5,1.75,2.5,2.75,2.5,2.5,2.5,2.75,3.0,2.5,2.5,2.0,2.5,2.0,2.5,3.0,2.08,2.54,2.583333333,2.75,2.475,2.316666667,2.6875,2.446428571,0
2.8,2.85,2.45,2.1,2.15,2.1,2.75,2.0,2.05,2.5,2.4,1.95,2.3,2.7,2.25,2.4,2.25,3.0,2.5,2.75,2.0,2.25,2.25,2.0,2.0,2.0,2.75,2.53,2.225,2.391666667,2.75,2.125,2.283333333,2.225,2.332142857,1
2.75,5.0,2.5,2.05,2.0,2.15,2.5,1.5,1.75,2.5,2.5,1.75,2.25,3.0,1.75,2.75,2.5,2.5,2.0,2.75,2.25,2.25,2.25,2.0,2.0,2.5,2.0,2.95,2.045,2.458333333,2.416666667,2.025,2.05,2.125,2.339285714,0
2.25,2.95,2.0,2.0,2.5,2.15,2.5,2.5,2.0,3.0,2.75,2.25,2.5,2.5,3.0,2.5,2.35,2.5,2.25,3.0,2.5,2.25,2.5,2.25,2.25,2.5,3.0,2.44,2.465,2.516666667,2.583333333,2.25,2.383333333,2.5,2.489285714,0
2.5,3.25,1.25,2.15,1.6,1.85,2.25,1.75,1.55,2.5,2.35,1.75,1.75,2.0,1.75,2.2,2.5,2.25,2.5,2.25,2.25,2.25,1.75,1.75,1.75,2.75,2.25,2.1,1.95,2.241666667,2.333333333,1.875,1.95,2.0375,2.121428571,1
1.75,3.0,1.5,2.05,1.9,1.9,2.25,2.25,1.25,2.75,2.5,2.25,2.0,2.25,2.25,2.25,2.75,2.25,2.25,2.5,2.0,2.0,2.0,1.75,1.75,2.5,2.25,2.05,2.135,2.25,2.333333333,1.975,2.133333333,2.1875,2.178571429,1
2.75,5.0,2.25,2.1,1.75,2.05,2.25,1.5,1.5,2.5,2.0,1.5,2.5,2.25,1.5,2.0,2.75,2.25,1.75,2.5,2.0,2.0,2.0,1.5,1.5,2.25,2.0,2.9,1.865,2.166666667,2.166666667,1.925,1.933333333,1.875,2.053571429,0
2.45,2.9,2.35,2.15,2.6,1.9,2.75,2.95,2.35,2.75,2.5,1.8,2.6,2.6,5.0,2.6,2.0,2.65,2.35,3.0,2.3,2.75,2.5,2.75,2.75,2.0,2.55,2.56,2.675,2.466666667,2.666666667,2.375,2.533333333,2.35,2.703571429,0
2.0,3.0,2.25,2.0,2.55,2.15,2.5,2.5,2.0,2.75,2.75,2.0,2.5,2.5,3.0,2.25,2.25,2.5,2.25,2.75,2.25,2.5,2.25,2.0,2.0,2.5,3.0,2.4,2.42,2.458333333,2.5,2.275,2.383333333,2.375,2.392857143,0
2.6,2.7,3.0,1.75,1.95,1.85,2.5,2.0,2.1,2.7,2.5,1.75,2.5,2.25,2.25,1.5,1.75,3.0,2.0,2.25,2.0,2.0,2.75,2.25,2.25,1.0,2.5,2.71,2.135,2.0,2.416666667,1.85,2.116666667,2.2625,2.125,1
2.25,2.75,1.75,2.05,1.95,2.05,2.25,1.5,1.25,2.25,2.0,2.0,2.0,2.25,1.5,2.0,2.5,2.5,1.75,2.5,2.25,2.25,2.25,1.5,1.75,2.5,2.25,2.2,1.88,2.25,2.25,2.0,1.933333333,1.875,2.107142857,1
2.75,3.2,2.75,2.05,1.95,2.0,2.25,2.0,1.8,2.7,2.25,2.25,2.5,2.0,1.75,1.75,1.85,2.75,1.75,2.75,1.5,2.0,2.5,2.0,2.25,1.25,2.5,2.74,2.1,1.933333333,2.416666667,2.0,2.083333333,2.25,2.042857143,0
2.9,2.65,2.6,2.1,2.65,2.1,3.0,2.2,2.45,3.25,2.3,1.6,3.0,2.9,2.5,2.6,2.35,2.75,2.4,2.5,2.85,2.0,2.25,2.0,2.0,2.0,2.45,2.68,2.415,2.525,2.55,2.375,2.433333333,2.4,2.435714286,0
3.0,3.2,2.25,2.0,2.5,2.15,2.75,2.25,1.7,2.65,2.25,1.75,2.5,2.75,2.0,2.5,3.0,2.25,2.0,2.75,2.25,2.25,2.0,1.75,1.75,2.5,2.5,2.59,2.2,2.541666667,2.333333333,2.25,2.383333333,2.0875,2.303571429,0
3.0,2.85,2.25,2.15,1.9,2.0,2.25,2.25,2.25,2.5,3.0,1.75,2.25,2.5,2.25,2.5,2.5,2.5,2.25,2.75,2.25,2.0,2.25,2.0,2.0,2.5,2.5,2.52,2.23,2.375,2.5,2.025,2.166666667,2.375,2.321428571,1
2.75,2.75,2.5,2.15,2.65,2.0,2.75,1.75,1.5,2.5,2.25,1.75,2.0,2.25,2.25,2.25,2.5,2.25,1.75,2.5,2.0,2.0,2.0,1.75,2.0,2.5,2.25,2.4,2.155,2.208333333,2.166666667,2.4,2.166666667,2.0,2.142857143,0
2.6,2.7,2.25,2.05,1.75,1.9,2.75,1.75,2.25,2.5,2.4,1.5,1.5,3.0,1.75,2.0,1.75,2.75,2.25,2.25,2.0,2.5,2.25,1.75,2.5,1.0,2.5,2.26,2.06,2.291666667,2.416666667,1.9,2.133333333,2.1625,2.089285714,1
2.7,2.8,2.75,2.05,2.45,2.0,2.75,2.25,2.65,2.45,2.25,1.25,2.5,5.0,2.5,1.75,2.0,3.0,1.75,2.5,5.0,2.25,2.75,2.0,2.0,1.25,2.5,2.7,2.26,3.083333333,2.416666667,2.25,2.333333333,2.15,2.589285714,0
2.45,2.8,2.2,2.0,2.15,2.05,3.0,2.5,2.25,3.2,2.65,2.2,2.25,2.6,3.0,2.7,2.1,2.5,2.5,3.0,2.5,3.0,2.5,2.5,2.5,1.75,2.5,2.44,2.5,2.566666667,2.666666667,2.075,2.516666667,2.575,2.528571429,1
2.7,2.7,2.6,2.05,2.6,2.25,2.75,2.0,2.5,3.25,1.95,1.85,3.15,2.55,2.25,2.8,2.25,3.0,2.5,2.75,2.0,2.25,2.25,2.0,2.0,2.0,2.75,2.68,2.345,2.433333333,2.75,2.325,2.333333333,2.3875,2.410714286,0
2.75,2.7,2.75,2.15,1.75,1.8,2.5,1.5,2.3,2.6,2.25,1.75,2.0,2.5,1.5,1.75,1.75,3.0,2.0,2.5,1.75,2.5,2.5,2.0,2.5,1.25,2.75,2.54,2.01,2.166666667,2.5,1.95,1.933333333,2.225,2.107142857,1
2.75,2.7,2.5,1.95,1.9,1.85,2.75,2.25,1.95,3.65,2.75,2.1,2.5,2.9,2.75,2.75,2.25,3.0,2.75,3.0,2.75,2.75,3.0,2.5,2.5,1.75,3.0,2.69,2.39,2.733333333,2.916666667,1.925,2.283333333,2.6125,2.653571429,1
2.65,2.7,2.55,1.8,1.85,1.95,2.5,2.0,2.3,2.25,2.4,1.8,2.75,2.25,1.75,2.25,1.75,3.0,2.0,2.25,1.75,2.5,2.25,2.25,2.25,1.25,2.75,2.58,2.06,2.208333333,2.416666667,1.825,2.15,2.1875,2.160714286,1
2.6,2.8,2.5,1.85,1.65,2.1,2.5,2.25,2.2,2.75,2.45,2.75,2.75,2.75,2.75,1.75,2.0,2.75,2.25,2.25,1.75,2.25,2.25,1.75,2.25,1.0,3.0,2.58,2.325,2.25,2.416666667,1.75,2.283333333,2.5375,2.178571429,1
2.85,2.8,2.65,2.05,2.6,2.3,3.0,2.25,2.65,3.3,2.2,1.75,2.75,2.6,2.75,3.0,2.4,2.5,3.0,3.0,2.75,2.0,2.25,2.25,2.25,1.75,2.75,2.66,2.485,2.583333333,2.833333333,2.325,2.516666667,2.475,2.517857143,0
2.8,2.85,2.5,1.85,1.95,2.15,2.75,2.0,2.1,2.7,2.55,2.25,2.75,3.0,2.75,2.5,1.5,2.75,2.75,2.75,1.5,1.75,2.25,1.75,2.0,1.25,2.75,2.63,2.305,2.166666667,2.75,1.9,2.3,2.4,2.232142857,1
2.75,2.85,2.7,1.95,2.55,2.1,5.0,2.3,2.4,3.2,2.45,2.15,2.7,2.8,2.5,2.95,2.45,2.7,4.0,3.0,2.6,2.5,2.75,2.5,2.5,2.0,2.65,2.75,2.66,2.658333333,3.233333333,2.25,3.133333333,2.55,2.710714286,1
2.75,2.85,3.0,1.85,2.35,2.0,2.75,2.25,1.75,3.0,2.6,1.5,2.5,3.0,2.4,2.0,1.75,2.75,2.25,3.0,1.5,2.25,2.75,2.0,2.25,1.25,2.5,2.77,2.245,2.166666667,2.666666667,2.1,2.333333333,2.2125,2.260714286,0
2.8,2.7,2.45,1.95,2.6,2.35,2.75,2.25,2.4,2.8,2.05,1.7,2.65,2.75,2.0,2.7,2.2,2.65,2.25,2.75,2.4,2.25,2.25,2.5,2.5,2.0,3.0,2.57,2.285,2.55,2.55,2.275,2.45,2.2375,2.417857143,0
